Organization,Gift Year,Gift Amount,Org-reported mission statement,Website,Org-reported geographies of service,Org-reported focus areas
"Lambda Legal","2021","Disclosure delayed for benefit of recipient","Founded in 1973, Lambda Legal is a national organization committed to achieving full recognition of the civil rights of lesbians, gay men, bisexuals, transgender, queer/questioning (LGBTQ) people and everyone living with HIV through impact litigation, education and public policy work.","https://www.lambdalegal.org/","United States; Puerto Rico, US","Gender identity; Sexual orientation"
"Lambda Legal","2020","Disclosure delayed for benefit of recipient","Founded in 1973, Lambda Legal is a national organization committed to achieving full recognition of the civil rights of lesbians, gay men, bisexuals, transgender, queer/questioning (LGBTQ) people and everyone living with HIV through impact litigation, education and public policy work.","https://www.lambdalegal.org/","United States; Puerto Rico, US","Gender identity; Sexual orientation"
"Landesa","2022","$20000000","Landesa champions and works to secure land rights for millions of the world's poorest, mostly rural women and men, to provide opportunity and promote social justice.","https://www.landesa.org","Global","Agricultural development; Economic development; Climate change; Race and ethnicity"
"Last Mile Health","2022","Disclosure delayed for benefit of recipient","Our mission is to save lives in the world's most remote communities.","https://lastmilehealth.org/","Global; Sub-Saharan Africa","Access to healthcare; Infectious and parasitic diseases; Maternal and perinatal health; Public health, public health infrastructure; Sexual and reproductive health and justice"
"Last Mile Health - Covid 19 Response","2020","Disclosure delayed for benefit of recipient","Our mission is to save lives in the world's most remote communities.","https://lastmilehealth.org/","Global; Sub-Saharan Africa","Access to healthcare; Infectious and parasitic diseases; Maternal and perinatal health; Public health, public health infrastructure; Sexual and reproductive health and justice"
"Latino Community Credit Union / Latino Community Development Center","2020","Disclosure delayed for benefit of recipient","We create economic opportunity for all by providing access to ethical financial products and education to Latinos and other immigrants traditionally locked out of the financial mainstream.","https://latinoccu.org/","South, US; United States; North Carolina, US","Cultural awareness; Economic development; Financial inclusion; Immigration or migration"
"LatinoJustice PRLDEF","2020","$3000000","LatinoJustice works to create a more just society by using and challenging the rule of law to secure transformative, equitable and accessible justice, by empowering our community and by fostering leadership through advocacy and education.","https://www.latinojustice.org/en","United States","Civic and social engagement; Immigration or migration; Incarceration and justice system involvement; Race and ethnicity"
"Latinos for Education","2022","$5000000","Our mission is to develop, place and connect essential Latino leaders in the education sector. We are building an ecosystem of Latino advocates by infusing Latino talent into positions of influence.","https://www.latinosforeducation.org/","United States","Elementary, secondary education; Race and ethnicity"
"Law Enforcement Action Partnership (LEAP)","2022","$5000000","LEAP’s mission is to unite and mobilize the voice of law enforcement in support of drug policy and justice reforms that make communities safer by focusing resources on the greatest threats to public safety, promoting alternatives to arrest and incarceration, addressing root causes of crime, and repairing police-community relations.","https://LawEnforcementAction.org","Europe & Central Asia; Latin America & Caribbean; North America","Bridging divides; Civic and social engagement; Incarceration and justice system involvement; Human rights"
"Lawyers' Committee for Civil Rights Under Law","2021","Disclosure delayed for benefit of recipient","To secure equal justice for all through the rule of law, targeting in particular the inequities confronting African Americans and other racial and ethnic minorities; dedicated to supporting and advancing diversity within its workforce and board.","https://www.lawyerscommittee.org/","United States","Democracy; Race and ethnicity"
"Leadership Conference Education Fund","2020","Disclosure delayed for benefit of recipient","Our mission is simple: Build an America as good as its ideals.","https://civilrights.org/edfund/","United States","Democracy; Race and ethnicity"
"Leading Educators","2021","$10000000","Leading Educators partners with school systems to build and sustain the conditions, teaching, and leadership to ensure that the students furthest from opportunity succeed in school and in life.","https://leadingeducators.org/","United States","Elementary, secondary education; Vocational education; Race and ethnicity"
"LEAP Africa","2022","$3500000","To inspire, empower, and equip a new cadre of African leaders by providing the skills and tools for personal, organizational and community transformation.","https://leapafrica.org/","Sub-Saharan Africa; Kenya; Nigeria","Civic and social engagement; Livelihoods and workforce development; Elementary, secondary education; Youth development; Nonprofit sector strengthening"
"LEARN Charter School Network","2022","$7000000","The mission of LEARN Charter School Network is to provide children with the academic foundation and ambition to earn a college degree.","https://www.learncharter.org/","Chicago, IL; Lake County, IL; Washington, DC","Early learning; Elementary, secondary education; Race and ethnicity"
"Learning Policy Institute","2022","$16000000","The Learning Policy Institute conducts and communicates independent, high-quality research to improve education policy and practice. Working with policymakers, researchers, educators, community groups, and others, the Institute seeks to advance evidence-based policies that support empowering and equitable learning for each and every child.","https://learningpolicyinstitute.org/","United States; California, US","Early learning; Elementary, secondary education; Youth development; Race and ethnicity"
"Lee College","2021","$5000000","Lee College serves the community by providing innovative and quality education to our diverse students along guided pathways to gainful employment, personal enrichment, and life-long learning.","https://www.lee.edu","Texas, US","Postsecondary, tertiary education"
"Leeway Foundation","2021","$2000000","Leeway Foundation supports women and trans artists and cultural producers working in communities at the intersection of art, culture, and social change. Its grant-making and other programs promote artistic expression that amplifies the voices of those on the margins and sustainable and healthy communities and work in the service of movements for economic and social justice.","https://www.leeway.org/","Philadelphia, PA","Craft and traditional arts; Literary arts; Performing arts; Visual arts; Regrantor"
"Legal Action Center","2022","$8000000","The Legal Action Center (LAC) uses legal and policy strategies to fight discrimination, build health equity, and restore opportunity for people with arrest and conviction records, substance use disorders, and HIV or AIDS.","https://www.lac.org/","New York, US; United States; Washington, DC","Incarceration and justice system involvement; Access to healthcare"
"Lemann Foundation","2022","$5000000","Our mission is to make Brazil a more equitable society by guaranteeing high quality public education for every Brazilian child as well as supporting the development of leaders committed to tackling our country most pressing social issues.","https://fundacaolemann.org.br/en","Latin America & Caribbean; Brazil","Bridging divides; Civic and social engagement; Elementary, secondary education; Fund"
"Lever for Change","2021","$8000000","Lever for Change connects donors with problem solvers to find and fund bold, effective solutions to accelerate social change.","https://www.leverforchange.org/","Global","Philanthropic sector strengthening; Nonprofit sector strengthening"
"LiftFund","2020","$10000000","LiftFund's mission is to provide credit and services to small businesses and entrepreneurs who do not have access to loans from commercial sources and to provide leadership and innovation in the microlending industry.","https://www.liftfund.com/","South, US; New York, US; Texas, US","Economic development; Financial inclusion; Livelihoods and workforce development; Gender identity; Race and ethnicity"
"Lincoln University","2020","$20000000","Lincoln University, the nation's first degree-granting Historically Black College and University (HBCU), educates and empowers students to lead their communities and change the world.","https://www.lincoln.edu/","Northeast, US; North America; Pennsylvania, US","Postsecondary, tertiary education; Race and ethnicity"
"Lindsay Unified School District","2022","Disclosure delayed for benefit of recipient","To support Lindsay learners and transform their lives through educational and charitable purposes","https://lindsayeducationalfoundationforlearning.org/","California, US; Tulare County, CA","Early learning; Elementary, secondary education; Postsecondary, tertiary education; Vocational education; Youth development"
"Living Goods","2022","$25000000","Living Goods saves lives at scale by supporting digitally empowered community health workers who deliver care on call-making it easy for families in need to get the care they need.","https://livinggoods.org/","Sub-Saharan Africa","Access to healthcare; Infectious and parasitic diseases; Maternal and perinatal health; Nutrition and food security; Sexual and reproductive health and justice"
"Living Goods - Covid-19 Response","2020","$3500000","Living Goods saves lives at scale by supporting digitally empowered community health workers who deliver care on call-making it easy for families in need to get the care they need.","https://livinggoods.org/","Burkina Faso; Kenya; Uganda","Access to healthcare; Infectious and parasitic diseases; Maternal and perinatal health; Public health, public health infrastructure; Sexual and reproductive health and justice"
"Local Initiatives Support Corporation","2020","$40000000","Together with residents and partners, we help forge resilient and inclusive communities of opportunity across America–great places to live, work, visit, do business and raise families.","https://www.lisc.org/","United States","Livelihoods and workforce development; Race and ethnicity; Humanitarian assistance and relief"
"Long Beach City College","2021","$30000000","Long Beach City College empowers students to become active, ethical participants in their learning, and in the democratic structures that give them voice. LBCC promotes equitable learning and educational achievement by delivering innovative, high-quality degree programs, certificate programs, holistic support services, and leading-edge workforce preparation for our diverse communities.","https://www.lbcc.edu/","North America; United States; Long Beach, CA","Postsecondary, tertiary education"
"Los Cenzontles Cultural Arts Academy","2021","$1000000","Los Cenzontles Cultural Arts Academy amplifies Mexican American culture and communities through education, performance and production.","https://www.loscenzontles.com/","California, US","Multidisciplinary arts; Cultural awareness; Race and ethnicity"
"Loudon County Habitat for Humanity","2022","$2000000","Seeking to put God's love into action, Loudon County Habitat for Humanity brings people together to build homes, communities, and hope.","https://loudoncountyhabitat.org/","Loudon County, TN","Access to housing and housing development; Economic development; Aging; Disability; Race and ethnicity"
"Louisville Urban League","2022","$5700000","Louisville Urban League is a nonprofit, nonpartisan, community service organization dedicated to eliminating racism and its adverse impacts on our community. Our mission is to assist African Americans and other marginalized populations in attaining social and economic equality through direct services and advocacy by focusing on Jobs, Justice, Education, Health, and Housing.","https://lul.org/","Kentucky, US; Louisville, KY","Access to housing and housing development; Financial inclusion; Livelihoods and workforce development; Youth development; Race and ethnicity"
"Low Income Investment Fund","2020","Disclosure delayed for benefit of recipient","Everyone in the United States should benefit from living in a community of opportunity, equity and well-being. LIIF mobilizes capital and partners to achieve this vision for people and communities.","https://www.liifund.org/","New York, US; Washington, DC; California, US","Access to housing and housing development; Economic development; Early learning; Race and ethnicity; Fund"
"Lumbee Tribe of North Carolina Boys & Girls Clubs","2022","$1250000","To enable all young people, especially those who need us most, to reach their full potential as productive, caring, responsible citizens.","https://www.lumbeetribe.com/youth-services-details","Lumberton, NC; Pembroke, NC; Raeford, NC","Craft and traditional arts; Creative youth development; Cultural awareness; Visual arts; Youth development"
"Lutheran Immigration and Refugee Service","2022","$15000000","As a witness to God's love for all people, we stand with and advocate for migrants and refugees, transforming communities through ministries of service and justice.","https://www.lirs.org/","Northeast, US; South, US; United States","Livelihoods and workforce development; Immigration or migration; Race and ethnicity; Child development and welfare"
"Lwala Community Alliance","2021","$7000000","To build the capacity of rural communities to advance their own comprehensive well-being.","https://lwala.org/","Sub-Saharan Africa; Kenya","Access to healthcare; Maternal and perinatal health; Public health, public health infrastructure; Sexual and reproductive health and justice; Water access, sanitation, and hygiene"
"MADRE","2022","$15000000","Our mission is to advance women's human rights by meeting urgent needs in communities and building lasting solutions to the crises women face.","https://www.madre.org","Global","Bridging divides; Environmental justice; Regrantor; Sexual and gender-based violence; Human rights"
"Magic Bus","2021","Disclosure delayed for benefit of recipient","To equip vulnerable young people with the life skills that enable them to thrive in the transition to adulthood.","https://www.magicbus.org/","South Asia; India","Economic development; Livelihoods and workforce development; Elementary, secondary education; Postsecondary, tertiary education; Youth development"
"Maine Expansion Arts Fund","2021","$2500000","The Maine Community Foundation brings people and resources together to build a better Maine.","https://www.mainecf.org/apply-for-a-grant/available-grants-deadlines/maine-expansion-arts-fund/","Maine, US","Fund; Philanthropic sector strengthening; Nonprofit sector strengthening"
"Maine Health Access Foundation","2022","$9000000","To promote access to quality health care, especially for those who are uninsured and underserved, and improve the health of everyone in Maine.","https://mehaf.org/","Maine, US","Fund; Access to healthcare"
"Make the Road New York","2022","Disclosure delayed for benefit of recipient","Make the Road New York builds the power of immigrant and working-class communities to achieve dignity and justice.","https://maketheroadny.org/","United States; New York, NY","Civic and social engagement; Youth development; Immigration or migration; Nutrition and food security; Public health, public health infrastructure"
"MakeWay","2022","$15000000","MakeWay builds solutions and partnerships to help nature and communities thrive together.","https://makeway.org/","Canada","Bridging divides; Civic and social engagement; Environmental justice; Regrantor; Nonprofit sector strengthening"
"Malala Fund","2022","Disclosure delayed for benefit of recipient","Malala Fund is working for a world where every girl can learn and lead","https://malala.org/","Latin America & Caribbean; South Asia; Sub-Saharan Africa","Elementary, secondary education; Youth development; Gender identity; Fund"
"Maliasili","2022","$8000000","To accelerate community-based conservation through local organizations.","https://www.maliasili.org/","Sub-Saharan Africa","Climate change; Natural resources conservation; Regrantor; Philanthropic sector strengthening; Nonprofit sector strengthening"
"Mama Cash","2022","$20000000","Mama Cash mobilises resources from individuals and institutions, makes grants to these self-led, feminist organisations, and helps to build the partnerships and networks needed to successfully defend and advance women's, girls', trans and intersex people's human rights globally.","https://www.mamacash.org/en/en-homepage","Global; Latin America & Caribbean; Sub-Saharan Africa","Environmental justice; Gender identity; Fund; Sexual and gender-based violence; Human rights"
"Mama Foundation for the Arts","2021","$1000000","Mama Foundation for the Arts' mission is to make a joyful noise, to uplift the Black musical treasures of Gospel, Jazz, and R&B, and to heal and inspire through the power of collective music-making.","https://www.mamafoundation.org/","New York, NY","Creative youth development; Cultural awareness; Performing arts; Youth development"
"Management Leadership for Tomorrow","2021","$15000000","At MLT we exist to advance racial equity and social justice by (1) elevating the career and economic trajectory of people of color and (2) changing employer practices to improve outcomes for all.","https://mlt.org/","United States; Puerto Rico, US; Virgin Islands, US","Bridging divides; Financial inclusion; Livelihoods and workforce development; Postsecondary, tertiary education; Race and ethnicity"
"Mann Deshi Foundation","2021","$1500000","Our aim is to empower rural women entrepreneurs with the knowledge, skills, access to capital and support to have more control over their lives; empower farmers to strengthen their livelihoods, create opportunities for children to play sports and young adults to flourish, and provide our communities access to quality healthcare.","https://manndeshifoundation.org/","India","Agricultural development; Financial inclusion; Livelihoods and workforce development; Youth development; Access to healthcare"
"MANNA FoodBank","2020","$9000000","MANNA FoodBank involves, educates, and unites people in the work of ending hunger in Western North Carolina","https://www.mannafoodbank.org","Avery County, NC; Buncombe County, NC; Cherokee County, NC","Child development and welfare; Nutrition and food security; Public health, public health infrastructure; Humanitarian assistance and relief"
"Marguerite Neel Williams Boys & Girls Clubs of Southwest Georgia","2022","Disclosure delayed for benefit of recipient","To enable all young people, especially those who need us most, to reach their full potential as productive, caring, responsible citizens.","https://www.mnw-bgc.org/","Georgia, US; Cairo, GA; Thomasville, GA","Creative youth development; Livelihoods and workforce development; Youth development; Mental and behavioral health; Nonprofit sector strengthening"
"Marion County School District","2022","$3500000","The mission of the Marion County School District Education Foundation is to foster equity for its students in a competitive society by providing opportunities to continue their educational growth after graduation. at no cost.","https://www.marionk12.org/","Mississippi, US; Marion County, MS; Columbia, MS","Bridging divides; Elementary, secondary education; Postsecondary, tertiary education; Vocational education; Race and ethnicity"
"Mary Black Foundation","2022","$8000000","To invest in people and communities for improved health, wellness, and success in Spartanburg County, SC.","https://maryblackfoundation.org/","Spartanburg County, SC","Early learning; Regrantor; Active living; Maternal and perinatal health; Mental and behavioral health"
"Mat-Su Health Foundation","2022","$15000000","To improve the health and wellness of Alaskans living in the Mat-Su.","https://www.healthymatsu.org/","Matanuska-Susitna Borough, AK","Fund; Access to healthcare; Child development and welfare; Mental and behavioral health; Nonprofit sector strengthening"
"MDC","2022","Disclosure delayed for benefit of recipient","MDC equips Southern leaders, institutions, and communities to improve economic mobility and advance equity.","https://www.mdcinc.org/","South, US","Livelihoods and workforce development; Vocational education; Race and ethnicity; Regrantor; Philanthropic sector strengthening"
"MDRC","2021","$15000000","Finding solutions to some of the most difficult problems facing the nation - from reducing poverty and bolstering economic self-sufficiency to improving public education and college graduation rates. We design promising new interventions, evaluate existing programs using the highest research standards, and provide technical assistance to build better programs and deliver effective interventions at scale.","https://www.mdrc.org/","United States","Livelihoods and workforce development; Early learning; Elementary, secondary education; Postsecondary, tertiary education; Incarceration and justice system involvement"
"Meals on Wheels America","2020","$5000000","Meals on Wheels America is the leadership organization supporting the more than 5,000 community-based programs across the country that are dedicated to addressing senior isolation and hunger. Our mission is to empower local community programs to improve the health and quality of life of the seniors they serve so that no one is left hungry or isolated.","https://www.mealsonwheelsamerica.org/","United States","Aging; Regrantor; Nutrition and food security"
"Meals on Wheels Atlanta","2020","$4000000","To support senior independence through meals, shelter, education, and community","https://mowatl.org/","Georgia, US; Atlanta, GA; Fulton County, GA","Bridging divides; Aging; Race and ethnicity; Nutrition and food security"
"Meals on Wheels Central Texas","2020","$8000000","Meals on Wheels Central Texas seeks to nourish and enrich the lives of the homebound and other people in need through programs that promote dignity and independent living.","https://www.mealsonwheelscentraltexas.org/","Texas, US; Austin, TX","Access to housing and housing development; Access to healthcare; Active living; Nutrition and food security"
"Meals on Wheels Diablo Region","2020","Disclosure delayed for benefit of recipient","To enhance the lives of older adults by delivering healthy meals and providing an array of supportive services that empower seniors to live independently, safely, and with dignity.","https://www.mowdiabloregion.org/","Contra Costa County, CA","Aging; Active living; Nutrition and food security"
"Meals on Wheels Durham","2020","$750000","The mission of Meals on Wheels Durham, is to enhance the quality of life for seniors, peoples with disabilities, and other eligible community members who are unable to provide proper nutrition for themselves by delivering meals, offering personal interactions, and providing other complementary services.","https://www.mowdurham.org/","Durham, NC","Nutrition and food security"
"Meals on Wheels Foundation of Northern Illinois","2020","$750000","Our mission is to assist the Community Nutrition Network and Senior Services Association (CNNSSA) with sustaining and expanding resources.","https://mowfni.org/","Illinois, US","Nutrition and food security"
"Meals on Wheels Greenville County","2021","$750000","Meals on Wheels enhances the quality of life of homebound individual & seniors in Greenville County by providing nutritious meals, personal interaction & independence.","https://mealsonwheelsgreenville.org/","South Carolina, US; Greenville County, SC","Aging; Disability; Chronic diseases; Nutrition and food security"
"Meals on Wheels Montgomery County","2020","Disclosure delayed for benefit of recipient","To foster the independence and dignity of homebound seniors in Montgomery County by providing them with nutritious meals, transportation, and caring connections","https://www.mowmc.org","Montgomery County, TX","Aging; Nutrition and food security"
"Meals on Wheels North Central Texas","2020","$1500000","Ending hunger and isolation. Delivering dignity and independence.","https://www.mownct.org","Ellis County, TX; Johnson County, TX; Navarro County, TX","Aging; Disability; Nutrition and food security; Humanitarian assistance and relief; Nonprofit sector strengthening"
"Meals on Wheels of Albuquerque","2020","Disclosure delayed for benefit of recipient","Delivering healthy meals and friendship - neighbor to neighbor","https://mow-nm.org/","New Mexico, US","Aging; Chronic diseases; Nutrition and food security"
"Meals on Wheels of Central Maryland","2020","$8000000","To keep aging and disabled adults living safely and independently at home through the provision of nutritious meals, personal contact and support services.","https://www.mealsonwheelsmd.org/","Maryland, US; Baltimore, MD","Aging; Disability; Nutrition and food security"
"Meals on Wheels of Eastern Kansas","2020","Disclosure delayed for benefit of recipient","Meeting individual needs through innovative care solutions.","https://www.midlandcareconnection.org/meals-on-wheels/","Midwest, US; Kansas, US","Aging; Nutrition and food security"
"Meals on Wheels of Metro Tulsa","2020","$1500000","Providing the support our seniors need to extend their independence and health as they age.","https://www.mealsonwheelstulsa.org","Oklahoma, US; Tulsa, OK","Nutrition and food security"
"Meals on Wheels of Northwest Indiana","2020","Disclosure delayed for benefit of recipient","To deliver nutritious meals to those in need with the support of community volunteers.","https://mownwi.org/","Jasper County, IN; Lake County, IN; Porter County, IN","Aging; Disability; Nutrition and food security"
"Meals on Wheels of Rhode Island","2020","Disclosure delayed for benefit of recipient","Our mission is to meet the nutritional and social needs of those we serve so that they can maintain safe and independent lifestyles.","https://www.rimeals.org/","Northeast, US; Rhode Island, US","Aging; Disability; Race and ethnicity; Access to healthcare; Nutrition and food security"
"Meals on Wheels of Staten Island","2020","$4000000","Our mission is to provide healthy nutrition for older adults, over age 60, who are unable to shop or prepare meals themselves. We provide healthy nutrition, two meals daily, responsive to individual health related and recommended dietary requirements. Daily delivery reduces isolation supporting a sense of well-being for meal recipients.","https://www.mealsonwheelsofstatenisland.com/","New York, US","Aging; Disability; Nutrition and food security"
"Meals on Wheels of Tampa","2020","Disclosure delayed for benefit of recipient","Meals On Wheels of Tampa nourishes, enriches, and strengthens the lives of seniors and individuals in the community who have difficulty leaving their homes and are challenged to prepare meals","https://mowtampa.org/","Florida, US; Hillsborough County, FL; Tampa, FL","Aging; Disability; Nutrition and food security"
"Meals on Wheels of the Greater Lehigh Valley","2020","$1500000","To improve the health, well-being, and independence of homebound seniors and adults with disabilities.","https://mowglv.org/","Pennsylvania, US; Allentown, PA; Lehigh County, PA","Aging; Disability; Chronic diseases; Mental and behavioral health; Nutrition and food security"
"Meals on Wheels People","2020","$8000000","Our mission is to enrich the lives of older adults and assist them in maintaining independence by providing nutritious food, human connections and social support. We also use our expertise and capacity to serve other nutritionally at-risk populations.","https://www.mowp.org/","Oregon, US; Washington, US","Aging; Access to healthcare; Active living; Chronic diseases; Nutrition and food security"
"Meals on Wheels Plus","2020","$1500000","The mission of Meals on Wheels Plus is to enhance the quality of life for seniors and other eligible adults by providing nutritionally balanced meals and supportive services.","https://www.mealsonwheelsplus.com/","Abilene, TX; Jones County, TX; Runnels County, TX","Aging; Disability; Race and ethnicity; Nutrition and food security"
"Meals on Wheels PLUS of Manatee","2021","Disclosure delayed for benefit of recipient","The mission of Meals on Wheels PLUS of Manatee is to assist individuals to live independently by providing nutrition and caring, supportive services.","https://mealsonwheelsplus.org/","Bradenton, FL; Manatee County, FL; Parrish, FL","Active living; Nutrition and food security"
"Meals On Wheels Programs & Services of Rockland","2021","Disclosure delayed for benefit of recipient","To enhance the wellness of Rockland's older adults and families by providing services that support their safety, independence and health","https://www.mowrockland.org/","New York, US; Rockland, NY","Active living; Nutrition and food security"
"Meals on Wheels San Diego County","2020","$4000000","Empower seniors and veterans to remain independent by nourishing their bodies, minds, and spirits","https://www.meals-on-wheels.org","California, US; San Diego County, CA","Aging; Mental and behavioral health; Nutrition and food security"
"Meals on Wheels San Francisco","2020","$8000000","Our mission to provide isolated homebound older adults in San Francisco and San Mateo with nutritious meals, daily human contact, and supportive services to prevent their premature institutionalization","https://www.mowsf.org","California, US; San Francisco County, CA; San Mateo County, CA","Aging; Disability; Nutrition and food security"
"Meals on Wheels South Florida","2020","Disclosure delayed for benefit of recipient","To end hunger across all ages with kindness, dignity and compassion.","https://www.mowsoflo.org/","Florida, US; Broward County, FL; Miami-Dade County, FL","Aging; Nutrition and food security"
"Meals on Wheels Southwest OH & Northern KY","2020","$4000000","We provide essential services so that seniors may age with comfort and dignity in their own homes.","https://www.muchmorethanameal.org/","Cincinnati, OH","Bridging divides; Aging; Disability; Chronic diseases; Nutrition and food security"
"Meals on Wheels Texoma","2020","$1500000","To enable people to live with dignity and independence by offering community support through nutritious meals and coordinated services that improve well-being.","https://www.mowot.org/","Cooke County, TX; Fannin County, TX; Grayson County, TX","Aging; Nutrition and food security"
"Meals on Wheels Wake County","2020","Disclosure delayed for benefit of recipient","Nourish, enrich, and strengthen the lives of older adults through daily meal delivery and human connections.","https://www.wakemow.org/","Raleigh, NC; Wake County, NC; Cary, NC","Aging; Nutrition and food security"
"Meals on Wheels Western South Dakota","2020","$1500000","To reconnect seniors to their communities with food and friendship.","https://www.mealsprogram.com","South Dakota, US; Pine Ridge, SD; Rapid City, SD","Bridging divides; Aging; Nutrition and food security; Humanitarian assistance and relief"
"Measures for Justice","2022","$15000000","Measures for Justice is leading a movement to change the future of criminal justice by developing tools that help communities, including the institutions that serve them reshape how the system works.","https://measuresforjustice.org/","New York, US; Louisiana, US; California, US","Bridging divides; Civic and social engagement; Incarceration and justice system involvement"
"Meharry Medical College","2022","$20000000","Meharry Medical College is a global academic health sciences center advancing health equity through innovative research, transformative education, exceptional and compassionate health services and policy-influencing thought leadership.  True to its legacy, Meharry empowers diverse populations to improve the well-being of humankind.","https://www.mmc.edu/","Global; Nashville, TN","Postsecondary, tertiary education; Access to healthcare; Chronic diseases; Infectious and parasitic diseases; Public health, public health infrastructure"
"Memphis Music Initiative","2021","Disclosure delayed for benefit of recipient","Memphis Music Initiative invests in youth through transformative music engagement, creating equitable opportunities for Black and brown youth in Memphis.","https://memphismusicinitiative.org/","Memphis, TN","Creative youth development; Cultural awareness; Race and ethnicity; Regrantor; Nonprofit sector strengthening"
"MENTOR","2021","$8000000","MENTOR's mission is to fuel the quality and quantity of mentoring relationships for America's young people and to close the mentoring gap for the one in three young people growing up without this critical support.","https://www.mentoring.org/","United States","Bridging divides; Livelihoods and workforce development; Youth development; Child development and welfare; Nonprofit sector strengthening"
"Metro Early College High School","2022","$2500000","Our mission is to have all members of the Metro community seek to improve their practice of the Metro Habits of Heart and Mind: Effective Communicator Inquiring Learner Active and Responsible Decision Maker Effective Collaborator Critical Thinker Engaged Learner","https://www.themetroschool.org","Ohio, US; Columbus, OH","Livelihoods and workforce development; Elementary, secondary education; Postsecondary, tertiary education; Vocational education"
"Metro Industrial Areas Foundation","2021","Disclosure delayed for benefit of recipient","The IAF partners with religious congregations and civic organizations at the local level to build broad-based organizing projects, which create new capacity in a community for leadership development, citizen-led action and relationships across the lines that often divide our communities.","https://www.metro-iaf.org/","United States","Faith and religion; Democracy"
"Metro United Way","2020","$20000000","To improve lives and our community by engaging people to give, advocate, and volunteer.","https://metrounitedway.org/","Indiana, US; Kentucky, US; Jefferson County, KY","Civic and social engagement; Access to housing and housing development; Financial inclusion; Early learning; Fund"
"Metropolitan Atlanta Arts Fund","2021","Disclosure delayed for benefit of recipient","The Arts Fund supports the creation of art within metro Atlanta’s arts and culture ecosystem, as well as the utilization of arts to amplify and activate community voice, strengthen the regional economy and foster an environment of life-long learning in the arts at all stages of life.","https://cfgreateratlanta.org/nonprofits/available-grants/metropolitan-atlanta-arts-fund/","Atlanta, GA","Multidisciplinary arts; Fund"
"Mexic-Arte Museum","2021","$1000000","The Mexic-Arte Museum is dedicated to enriching the community through education programs, exhibitions, and the collection, preservation, and interpretation of Mexican, Latinx, and Latin American art and culture for visitors of all ages.","https://mexic-artemuseum.org/","Austin, TX; Travis, TX","Museums; Bridging divides; Civic and social engagement; Livelihoods and workforce development; Youth development"
"Micronesia Conservation Trust","2022","$6000000","We make grants and strengthen organizational and leadership capacity to help Micronesian communities and decision-makers conserve the health of the oceans and islands that are our home.","https://www.ourmicronesia.org/","Marshall Islands; Micronesia, Federated States of; Palau","Livelihoods and workforce development; Natural resources conservation; Regrantor; Nonprofit sector strengthening"
"Mid Atlantic Arts","2021","$8000000","Mid Atlantic Arts nurtures and funds the creation and presentation of diverse artistic expression and connects people to meaningful arts experiences within our region and beyond.","https://www.midatlanticarts.org/","Northeast, US; Virgin Islands, US","Craft and traditional arts; Multidisciplinary arts; Performing arts; Fund; Nonprofit sector strengthening"
"Mid-America Arts Alliance","2021","$8000000","Mid-America Arts Alliance strengthens and supports artists, cultural organizations, and communities throughout the region and beyond","https://www.maaa.org/","Midwest, US; United States","Multidisciplinary arts; Bridging divides; Race and ethnicity; Regrantor; Nonprofit sector strengthening"
"Migrant Clinicians Network","2022","$5000000","Migrant Clinicians Network: A force for health justice/Somos una fuerza dedicada a la justicia en salud. Our mission is to create practical solutions at the intersection of vulnerability, migration, and health. We envision a world based on health justice and equity, where migration is never an impediment to well-being.","https://www.migrantclinician.org/","Global; Latin America & Caribbean; United States","Bridging divides; Climate change; Environmental justice; Immigration or migration; Access to healthcare"
"Mile High United Way","2020","$20000000","Mile High United Way, the first United Way in the country and celebrating 135 years, works to unite people, ideas and resources to advance the common good. We believe in a community united to create opportunities for all.","https://unitedwaydenver.org/","Colorado, US","Livelihoods and workforce development; Early learning; Youth development; Regrantor; Nonprofit sector strengthening"
"Millennial Action Project","2020","$2000000","Millennial Action Project has an audacious mission: activate young leaders to bridge the partisan divide and transform American politics. We believe Millennial and Gen Z lawmakers at the state and federal levels can build a more functional democracy, and scale a more effective and empathetic political culture.","https://www.millennialaction.org/","Northeast, US; South, US; United States","Bridging divides; Civic and social engagement; Democracy; Youth development; Climate change"
"Milwaukee Habitat for Humanity","2022","$5750000","Put God's love into action by bringing people together to build homes, communities and hope.","https://milwaukeehabitat.org/","Wisconsin, US; Milwaukee, WI","Access to housing and housing development"
"Mission Achievement and Success Charter School","2022","$3000000","Our mission is to prepare students to be successful in college and life by providing a rigorous college preparatory program in a safe, effective learning environment. We believe that all children, regardless of race, economic status, or past educational experiences can succeed when provided access to a great education.","https://www.missionachievementandsuccess.com/","Albuquerque, NM; Las Cruces, NM; Santa Fe, NM","Early learning; Elementary, secondary education; Postsecondary, tertiary education; Youth development"
"Mission Asset Fund - Immigrant Families Fund","2021","$45000000","MAF provides timely and culturally relevant financial products and services to help low-income workers, people of color, and immigrant families throughout the country to become visible, active, and successful in their financial lives.","https://missionassetfund.org/immigrant-families-grant/","United States","Economic development; Financial inclusion; Livelihoods and workforce development; Immigration or migration; Race and ethnicity"
